legacyId,id,firstName,lastName,department,school_legacyId,school_name,school_city,school_state,avgRating,avgDifficulty,numRatings,wouldTakeAgainPercent
2049285,VGVhY2hlci0yMDQ5Mjg1,Margaret,Ellis,Computer Science,1349,Virginia Tech,Blacksburg,VA,2,3.3,36,34.2857
2562075,VGVhY2hlci0yNTYyMDc1,Catherine,Twyman,Engineering,1349,Virginia Tech,Blacksburg,VA,3.8,1.9,33,72.7273
2976458,VGVhY2hlci0yOTc2NDU4,Justin,Dubik,Engineering,1349,Virginia Tech,Blacksburg,VA,5,3,2,100
2758171,VGVhY2hlci0yNzU4MTcx,Kathleen,Carper,Engineering,1349,Virginia Tech,Blacksburg,VA,2.9,3.6,8,37.5
2453636,VGVhY2hlci0yNDUzNjM2,John,Lewis,Computer Science,1349,Virginia Tech,Blacksburg,VA,4.1,2.6,59,84.7458
2734868,VGVhY2hlci0yNzM0ODY4,Yue,Wang,Electrical & Computer Engineering,1349,Virginia Tech,Blacksburg,VA,3,3.5,2,50
3100478,VGVhY2hlci0zMTAwNDc4,Dan,Williams,Computer Science,1349,Virginia Tech,Blacksburg,VA,3.5,4,2,100
3070954,VGVhY2hlci0zMDcwOTU0,Joshua,Sole,Mechanical Engineering,1349,Virginia Tech,Blacksburg,VA,4,2.5,8,87.5
2742795,VGVhY2hlci0yNzQyNzk1,Ravi,Raghunathan,Electrical Engineering,1349,Virginia Tech,Blacksburg,VA,1,5,2,0
2694993,VGVhY2hlci0yNjk0OTkz,Scott,Dunning,Electrical Engineering,1349,Virginia Tech,Blacksburg,VA,4.9,2.8,30,100
1923419,VGVhY2hlci0xOTIzNDE5,Michael,Hsiao,Electrical Engineering,1349,Virginia Tech,Blacksburg,VA,3.9,2.4,8,83.3333
2102814,VGVhY2hlci0yMTAyODE0,Jared,Gragg,Engineering,1349,Virginia Tech,Blacksburg,VA,3.3,3.5,28,66.6667
1231425,VGVhY2hlci0xMjMxNDI1,Osman,Balci,Computer Science,1349,Virginia Tech,Blacksburg,VA,2.1,3.8,21,21.0526
3104955,VGVhY2hlci0zMTA0OTU1,Sehrish,Nizamani,Computer Science,1349,Virginia Tech,Blacksburg,VA,4,2,2,100
2331667,VGVhY2hlci0yMzMxNjY3,Benjamin,Chambers,Engineering,1349,Virginia Tech,Blacksburg,VA,4.8,2.1,29,93.1034
2728808,VGVhY2hlci0yNzI4ODA4,Siwei,Cao,Computer Science,1349,Virginia Tech,Blacksburg,VA,2.1,2.8,17,23.5294
2853293,VGVhY2hlci0yODUzMjkz,Cassie,Wallwey,Engineering,1349,Virginia Tech,Blacksburg,VA,4.9,1.8,38,97.3684
1170376,VGVhY2hlci0xMTcwMzc2,Kristie,Cooper,Engineering,1349,Virginia Tech,Blacksburg,VA,3,4.3,74,50.7692
2087242,VGVhY2hlci0yMDg3MjQy,Majid ,Manteghi,Engineering,1349,Virginia Tech,Blacksburg,VA,3.6,4,20,65
2928681,VGVhY2hlci0yOTI4Njgx,Steve,Rowson,Engineering,1349,Virginia Tech,Blacksburg,VA,5,1.1,25,100
1377980,VGVhY2hlci0xMzc3OTgw,Khai,Ngo,Electrical Engineering,1349,Virginia Tech,Blacksburg,VA,1.2,4.5,23,4.3478
2642486,VGVhY2hlci0yNjQyNDg2,Juan,Ortega Alvarez,Engineering,1349,Virginia Tech,Blacksburg,VA,4.8,1.9,21,100
1159158,VGVhY2hlci0xMTU5MTU4,Jeff,Bolton,Engineering,1349,Virginia Tech,Blacksburg,VA,4.8,3.5,39,96.875
2182249,VGVhY2hlci0yMTgyMjQ5,Sneha,Davison,Engineering,1349,Virginia Tech,Blacksburg,VA,4.9,3.3,31,96.7742
3101993,VGVhY2hlci0zMTAxOTkz,Behzah,Hamedi,Mechanical Engineering,1349,Virginia Tech,Blacksburg,VA,3.5,2.5,2,50
3090938,VGVhY2hlci0zMDkwOTM4,Saadbin,Khan,Mechanical Engineering,1349,Virginia Tech,Blacksburg,VA,5,2,1,100
2570801,VGVhY2hlci0yNTcwODAx,Scot,Ransbottom,Engineering,1349,Virginia Tech,Blacksburg,VA,1.9,2.7,9,11.1111
2689778,VGVhY2hlci0yNjg5Nzc4,Mary,Lanzerotti,Electrical Engineering,1349,Virginia Tech,Blacksburg,VA,4.5,3.1,15,93.3333
991424,VGVhY2hlci05OTE0MjQ=,C.L.,Wyatt,Engineering,1349,Virginia Tech,Blacksburg,VA,2.8,4.5,17,46.6667
1652302,VGVhY2hlci0xNjUyMzAy,Richard,Clark,Engineering,1349,Virginia Tech,Blacksburg,VA,3.4,3.9,44,64.4444
2909367,VGVhY2hlci0yOTA5MzY3,Tessema,Mengistu,Computer Science,1349,Virginia Tech,Blacksburg,VA,1.3,3,4,0
2447994,VGVhY2hlci0yNDQ3OTk0,Arthur,Ball,Electrical Engineering,1349,Virginia Tech,Blacksburg,VA,4.2,3.4,51,88.2353
960077,VGVhY2hlci05NjAwNzc=,David,McPherson,Computer Science,1349,Virginia Tech,Blacksburg,VA,4.5,2.9,42,91.4286
3069059,VGVhY2hlci0zMDY5MDU5,Hulya,Dogan,Engineering,1349,Virginia Tech,Blacksburg,VA,4.5,2,2,100
539315,VGVhY2hlci01MzkzMTU=,Jenny,Lo,Engineering,1349,Virginia Tech,Blacksburg,VA,4.7,1.9,54,100
1160661,VGVhY2hlci0xMTYwNjYx,Leyla,Nazhandali,Electrical & Computer Engineering,1349,Virginia Tech,Blacksburg,VA,4.3,2.8,12,81.8182
2256804,VGVhY2hlci0yMjU2ODA0,Claire,White,Civil Engineering,1349,Virginia Tech,Blacksburg,VA,3.8,2.6,10,70
