teacher_legacy_id,teacher_id,teacher_name,teacher_department,rating_legacy_id,date,class,comment,quality,difficulty,attendance_mandatory,would_take_again,grade,is_online,textbook_use,thumbs_up,thumbs_down
2049285,VGVhY2hlci0yMDQ5Mjg1,Margaret Ellis,Computer Science,41654016,2025-09-20 01:28:13 +0000 UTC,CS2114,"Lectures were helpful, not too much work outside of the projects. However she messed up my grade on a project, when I talked to her about it in class she said to email her about it. She never responded to my email or changed my grade which caused me to get a B instead of B+.",2,3,non mandatory,1,B,False,3,0,0
2049285,VGVhY2hlci0yMDQ5Mjg1,Margaret Ellis,Computer Science,40593472,2025-01-23 18:35:17 +0000 UTC,CS2114,"Be prepared for a flipped classroom. Class time is mainly used for ""peer instruction"" quizzes, which are participation-based, while you're expected to watch lesson materials on Canvas. This approach might feel like the instructor is disengaged, as there's little effort to lecture on relevant material or provide deeper in-class instruction. AVOID!",1,3,mandatory,,B,False,-1,0,0
2049285,VGVhY2hlci0yMDQ5Mjg1,Margaret Ellis,Computer Science,40523622,2025-01-10 17:28:30 +0000 UTC,CS2114,"She does not taking extenuating circumstances into consideration. She unfairly listens to other people in terms of grade curves, but probably won't curve your grade. The tests are extremely easy, but the projects are extremely hard. She responds to your emails during vacation, but she does not take grade boosts into account at all.",1,3,mandatory,,B+,False,-1,0,0
2049285,VGVhY2hlci0yMDQ5Mjg1,Margaret Ellis,Computer Science,40416912,2024-12-22 19:40:52 +0000 UTC,CS2114,She did not teach anything in class. Going to class was a waste of time. She could barely answer questions too. She only assigned online content pages which were helpful if u can teach yourself well. Projects were hard and took a long time. She was not understanding to external circumstances either. I would not recommend her as a teacher.,2,4,mandatory,,B,False,-1,0,0
2049285,VGVhY2hlci0yMDQ5Mjg1,Margaret Ellis,Computer Science,40349265,2024-12-17 20:35:47 +0000 UTC,CS2114,"easy class, you learn most of the material by yourself through the stuff in canvas.",3,2,mandatory,1,A,False,-1,0,0
2049285,VGVhY2hlci0yMDQ5Mjg1,Margaret Ellis,Computer Science,40278587,2024-12-13 18:51:44 +0000 UTC,CS2114,Class is pointless. Only went for participation points. She teaches thru videos in content pages that don't help anyone understand the material. You basically are teaching yourself the rest of the basic concepts of Java continued from CS 1114 from material in Canvas. Prepare to constantly be at office hrs in Torg. She's very condescending too.,2,5,mandatory,,Not sure yet,False,-1,0,0
2049285,VGVhY2hlci0yMDQ5Mjg1,Margaret Ellis,Computer Science,40018985,2024-11-23 05:59:32 +0000 UTC,CS2114,"Margaret Ellis does NOT care about you, or your problems. I have reached out multiple times for assistance, only to be ignored or, on the rare instance of being acklowdged, have my problems be completely disregarded. This has been going on since the beginning of the semester.",1,2,non mandatory,,Incomplete,False,-1,0,0
2049285,VGVhY2hlci0yMDQ5Mjg1,Margaret Ellis,Computer Science,39466215,2024-05-15 03:44:43 +0000 UTC,CS2114,"The lectures are practically not useful for your time, but her online content pages are very helpful and teach you for most of the semester. The class is easy, and if you need further help, the TA's are helpful as well. Just don't procrastinate!",4,3,mandatory,1,A,False,-1,0,0
2049285,VGVhY2hlci0yMDQ5Mjg1,Margaret Ellis,Computer Science,39405017,2024-05-08 14:59:35 +0000 UTC,CS2114,"Her and a lot of the TAs (but definitely not all of them) are really rude. All content is taught through online videos and the lecture is treated like a study hall that no one attends. Fortunately, it is a really easy class content-wise, with test questions repeated from earlier quizzes and free hundreds from projects if you start them in time.",2,2,non mandatory,,A,False,-1,1,0
2049285,VGVhY2hlci0yMDQ5Mjg1,Margaret Ellis,Computer Science,39404922,2024-05-08 14:51:00 +0000 UTC,CS2114,"Professor Ellis is amazing! The class is very easy if you just start your projects early and study for the quizzes by reviewing past quizzes and questions on the content pages. The assesments are literally mostly just repeated questions from the previous quizzes. You don't really have to go to her class to do well, but I recommend still going.",5,2,non mandatory,1,A-,False,-1,0,0
2049285,VGVhY2hlci0yMDQ5Mjg1,Margaret Ellis,Computer Science,39329458,2024-05-01 18:56:56 +0000 UTC,CS2114,"Welcome to Yappsville! Prof. Ellis is the mayor. Lectures are completely useless, she isn't good at actually teaching, and can be rude/delusional. Content/class isn't hard, just prepare to learn most of it through youtube and other online tutorials. TAs are great and can absolutely help, so go to office hours. Dont waste your time going to class.",1,2,non mandatory,1,A-,False,-1,1,0
2049285,VGVhY2hlci0yMDQ5Mjg1,Margaret Ellis,Computer Science,39257510,2024-04-24 22:30:45 +0000 UTC,CS2114,I really really dont like her.,1,5,non mandatory,,A,False,-1,2,0
